iter	MAE	RMSE
122	0.1640949775	0.3288413626
123	0.1638815811	0.3285792525
124	0.1635287567	0.3282611967
125	0.1632926466	0.3278880536
126	0.1630028679	0.3274965315
127	0.1626961455	0.3271366903
128	0.1624079192	0.3267300538
129	0.1620723829	0.3263655283
130	0.1618390599	0.3260821514
131	0.1616182024	0.3256098679
132	0.1613150912	0.3252705711
133	0.161007955	0.3248095673
134	0.1606998563	0.3244414688
135	0.1604446793	0.3241345309
136	0.1602710332	0.3238227794
137	0.1599344284	0.3234123758
138	0.1597276359	0.3230972359
139	0.1595236802	0.3228605128
140	0.1593399919	0.3226868276
141	0.1590857956	0.3223449274
142	0.1588744318	0.3220746085
143	0.1586069588	0.3218249444
144	0.1584171875	0.3215707769
145	0.1582330827	0.3213096184
146	0.1580451982	0.3208510469
147	0.1578288863	0.3205271362
148	0.1575883152	0.3202631544
149	0.1574542445	0.3199701507
150	0.157273826	0.3197374677
151	0.1571696306	0.3194624214
152	0.1570363319	0.3192180102
153	0.1568439937	0.318980189
154	0.1566572113	0.3187110302
155	0.1563737906	0.3183018826
156	0.156214189	0.3180712724
157	0.156100155	0.3178804151
158	0.1559251687	0.3176086443
159	0.1557531003	0.3173481021
160	0.155568672	0.3170437362
161	0.1554237519	0.3168061436
162	0.1552382994	0.3166165085
163	0.1550958047	0.3163494367
164	0.1550037229	0.3161468832
165	0.154890564	0.3158426464
166	0.1545938519	0.315570895
167	0.1544525196	0.3153389388
168	0.1542788394	0.3151481564
169	0.1541764747	0.3149820172
170	0.1540210097	0.3147232999
171	0.1539293706	0.3145027304
172	0.1537969773	0.314335502
173	0.1536873484	0.3141019946
174	0.153591967	0.3138312775
175	0.1534826844	0.3135843096
176	0.1533809596	0.3133767632
177	0.1533043644	0.3131755999
178	0.1531610192	0.3129228799
179	0.1529477299	0.3126313088
180	0.1528339373	0.3123839961
181	0.1526433135	0.3121181327
182	0.1525583699	0.3119042981
183	0.1524078392	0.3116048989
184	0.1522164559	0.3113450074
185	0.1519948751	0.311051917
186	0.1519013301	0.3109174755
187	0.1517905359	0.3106427851
188	0.1516729366	0.3103904135
189	0.1516128443	0.3103395297
190	0.1514242259	0.3101315745
191	0.1513625934	0.3099907993
192	0.1512355536	0.3097831966
193	0.1511863285	0.3096901853
194	0.1511344122	0.3095275482
195	0.1509817574	0.309368573
196	0.1508733678	0.3091383475
197	0.1508731277	0.3091368224
198	0.1508268718	0.3090516276
199	0.1507786156	0.3089237774
200	0.1506729278	0.308708152
201	0.1503994731	0.3085187892
202	0.1502980319	0.3083429188
203	0.15018207	0.3081533257
204	0.1499495597	0.3079245272
205	0.1498338731	0.3077503641
206	0.1497100002	0.3075962685
207	0.1494714729	0.307369713
208	0.1493688873	0.3071794226
209	0.1492887202	0.307002374
210	0.1490714671	0.3067248839
211	0.1490108157	0.3064957638
212	0.148837941	0.3063286482
213	0.1487971791	0.3062218258
214	0.1487275429	0.3060551839
215	0.1486596334	0.3058822797
216	0.148505605	0.3056642445
217	0.1483556295	0.3054695794
218	0.1482671305	0.3052832086
219	0.1481858138	0.3051189555
220	0.1480761597	0.3048810457
221	0.147929036	0.3046252479
222	0.1476722355	0.3044524572
223	0.1476030545	0.3042961849
224	0.1476028731	0.3042933127
225	0.1476028515	0.3042932659
226	0.147522641	0.3041215631
227	0.1474673995	0.3039739864
228	0.1472135931	0.3038043135
229	0.1472132053	0.3038022324
230	0.147086202	0.3036460702
231	0.1470237584	0.3035480828
232	0.1469626502	0.3034650025
233	0.1468280291	0.3033185453
234	0.1468245827	0.3033030021
235	0.1468243	0.303300963
236	0.1467052226	0.3031766228
237	0.1466021078	0.3029791322
238	0.1464668861	0.3027896655
239	0.1463307352	0.3026372416
240	0.1462413645	0.3024998319
241	0.1461450627	0.3023069555
242	0.146096868	0.3021732431
243	0.1460858635	0.302116823
244	0.1459694563	0.3018968969
245	0.1458619783	0.3017643523
246	0.1458182451	0.3017062812
247	0.1457645335	0.3016124661
248	0.1456964196	0.301425785
249	0.1456348962	0.3012850392
250	0.1455465921	0.3010908796
251	0.1454431364	0.3009279919
252	0.1454428354	0.3009265784
253	0.1454400324	0.3009170554
254	0.1453590016	0.3007167509
255	0.1452919814	0.3005623343
256	0.1452921929	0.3005609354
257	0.1451749334	0.3004142257
258	0.1451013306	0.3003165353
259	0.1450512341	0.300194707
260	0.1449773229	0.2999756964
261	0.1448730565	0.2998355763
262	0.1448025533	0.2996693598
263	0.1447293637	0.2995360686
264	0.1446360038	0.2993548416
265	0.1446360507	0.2993547938
266	0.144632627	0.2993470041
267	0.1445356242	0.2991758891
268	0.144410814	0.2989856547
269	0.1443638098	0.2988580867
270	0.144312539	0.2987648184
271	0.1442355263	0.2986438842
