iter	Passed	Remaining
399	39106	136871
400	39208	136788
401	39306	136693
402	39396	136567
403	39492	136464
404	39545	136212
405	39646	136124
406	39731	135986
407	39817	135847
408	39907	135723
409	39955	135457
410	40036	135307
411	40119	135161
412	40206	135027
413	40271	134822
414	40364	134709
415	40460	134608
416	40560	134521
417	40647	134387
418	40728	134239
419	40826	134144
420	40914	134017
421	40979	133815
422	41078	133722
423	41184	133654
424	41276	133541
425	41364	133415
426	41406	133141
427	41486	132990
428	41586	132901
429	41685	132811
430	41778	132702
431	41889	132650
432	41994	132577
433	42081	132450
434	42179	132355
435	42277	132263
436	42372	132158
437	42433	131950
438	42525	131838
439	42619	131731
440	42728	131672
441	42846	131643
442	42945	131549
443	43004	131337
444	43103	131246
445	43158	131023
446	43246	130901
447	43330	130765
448	43419	130644
449	43512	130536
450	43606	130432
451	43706	130345
452	43816	130288
453	43917	130203
454	44028	130150
455	44150	130126
456	44269	130096
457	44376	130029
458	44485	129967
459	44594	129906
460	44673	129757
461	44762	129637
462	44851	129517
463	44942	129403
464	45032	129286
465	45147	129241
466	45242	129139
467	45333	129025
468	45433	128939
469	45534	128851
470	45619	128722
471	45708	128602
472	45818	128543
473	45920	128459
474	46005	128331
475	46089	128199
476	46194	128123
477	46298	128047
478	46388	127930
479	46478	127815
480	46576	127721
481	46730	127782
482	46841	127722
483	46930	127603
484	47020	127489
485	47111	127374
486	47201	127260
487	47292	127147
488	47389	127049
489	47478	126933
490	47576	126838
491	47665	126720
492	47766	126634
493	47877	126575
494	47985	126506
495	48100	126457
496	48234	126458
497	48342	126389
498	48450	126321
499	48552	126237
500	48665	126179
501	48760	126077
502	48857	125981
503	48959	125894
504	49063	125817
505	49164	125728
506	49278	125673
507	49349	125511
508	49460	125447
509	49553	125341
510	49668	125289
511	49769	125202
512	49873	125120
513	49942	124954
514	50034	124844
515	50137	124760
516	50242	124684
517	50335	124575
518	50445	124509
519	50535	124395
520	50635	124304
521	50747	124243
522	50845	124149
523	50955	124081
524	51047	123973
525	51162	123918
526	51260	123823
527	51377	123772
528	51490	123712
529	51589	123619
530	51684	123518
531	51781	123419
532	51880	123325
533	51972	123214
534	52070	123119
535	52157	122997
536	52242	122873
537	52336	122765
538	52425	122649
539	52531	122572
540	52626	122470
541	52718	122362
542	52810	122251
543	52906	122151
544	52966	121968
545	53082	121915
546	53180	121820
547	53285	121740
548	53402	121686
549	53507	121608
550	53611	121524
551	53711	121435
552	53828	121382
553	53931	121297
554	54025	121192
555	54130	121112
556	54223	121005
557	54319	120904
558	54460	120904
559	54581	120858
560	54682	120769
561	54784	120681
562	54891	120605
563	54989	120509
564	55072	120380
565	55158	120257
566	55248	120142
567	55372	120102
568	55467	120001
569	55553	119877
570	55756	120008
571	55892	119993
572	55997	119910
573	56084	119790
574	56163	119653
575	56244	119519
576	56330	119397
577	56410	119261
578	56497	119143
579	56572	118996
580	56651	118860
581	56727	118718
582	56805	118579
583	56880	118436
584	56961	118303
585	57036	118160
586	57121	118038
587	57203	117910
588	57281	117772
589	57360	117637
590	57437	117499
591	57511	117355
592	57586	117213
593	57672	117092
594	57759	116974
595	57834	116832
596	57924	116722
597	58002	116587
598	58079	116450
599	58154	116309
600	58230	116170
601	58312	116042
602	58388	115905
603	58439	115717
604	58515	115579
605	58591	115443
606	58672	115315
607	58747	115176
608	58824	115040
609	58905	114913
610	58987	114789
611	59060	114647
612	59132	114502
613	59208	114366
614	59278	114219
615	59353	114082
616	59428	113944
617	59507	113815
618	59582	113678
619	59654	113535
620	59728	113396
621	59810	113274
622	59887	113143
623	59966	113014
624	60039	112873
625	60110	112731
626	60182	112589
627	60254	112449
628	60330	112315
629	60402	112175
630	60460	112010
631	60534	111873
632	60617	111753
633	60695	111625
634	60786	111521
635	60873	111409
636	60955	111289
637	61023	111143
638	61103	111018
639	61176	110882
640	61251	110748
641	61298	110566
642	61379	110444
643	61460	110322
644	61533	110188
645	61583	110012
646	61655	109874
647	61733	109748
648	61804	109609
649	61875	109471
650	61947	109335
651	62020	109202
652	62098	109077
653	62176	108951
654	62253	108824
655	62324	108687
656	62397	108554
657	62447	108380
658	62519	108246
659	62603	108133
660	62679	108006
661	62757	107882
662	62831	107751
663	62901	107615
664	62975	107484
665	63048	107353
666	63111	107203
667	63181	107068
668	63256	106940
669	63329	106809
670	63402	106678
671	63478	106552
672	63527	106382
673	63604	106259
674	63679	106132
675	63753	106003
676	63796	105825
677	63869	105694
678	63952	105583
679	64025	105454
680	64096	105322
681	64169	105192
682	64245	105068
683	64319	104942
684	64392	104814
685	64463	104683
686	64536	104554
687	64615	104436
688	64674	104286
689	64746	104157
690	64821	104033
691	64893	103904
692	64969	103782
693	65021	103622
694	65094	103495
695	65166	103368
696	65238	103240
697	65310	103112
698	65385	102988
699	65460	102867
700	65535	102743
701	65610	102622
702	65684	102497
703	65760	102377
704	65831	102249
705	65902	102121
706	65977	101999
707	66050	101875
708	66125	101752
709	66197	101626
710	66270	101502
711	66346	101384
712	66423	101265
713	66498	101145
714	66573	101023
715	66647	100902
716	66698	100746
717	66773	100624
718	66845	100501
719	66917	100376
720	66994	100259
721	67070	100141
722	67143	100018
723	67218	99899
724	67293	99780
725	67366	99658
726	67438	99534
727	67518	99423
728	67588	99296
729	67661	99175
730	67738	99059
731	67812	98938
732	67884	98816
733	67960	98700
734	68034	98581
735	68108	98460
736	68190	98354
737	68264	98234
738	68338	98115
739	68409	97991
740	68485	97876
741	68540	97730
742	68614	97611
743	68686	97490
744	68762	97375
745	68835	97255
746	68908	97135
747	68983	97020
748	69062	96909
749	69145	96803
750	69217	96683
751	69289	96563
752	69383	96473
753	69457	96356
754	69529	96236
755	69606	96122
756	69680	96006
757	69757	95893
758	69836	95783
759	69911	95667
760	69986	95553
761	70059	95435
762	70133	95318
763	70207	95202
764	70286	95093
765	70360	94976
766	70435	94862
767	70508	94746
768	70585	94634
769	70657	94515
770	70732	94401
771	70806	94286
772	70880	94170
773	70954	94055
774	71031	93944
775	71105	93829
776	71184	93721
777	71259	93608
778	71335	93496
779	71410	93382
780	71486	93270
781	71571	93171
782	71656	93070
783	71748	92980
784	71839	92888
785	71915	92776
786	71991	92664
787	72065	92551
788	72140	92439
789	72226	92340
790	72308	92236
791	72381	92122
792	72453	92005
793	72531	91897
794	72606	91786
795	72681	91673
